index	trigger	syllables	flag	preview
174	line-end	22		ཕྱག་འཚལ་ས་གཞི་སྐྱོང་བའི་ཚོགས་རྣམས །ཐམས་ཅད་འགུགས་པར་ནུས་པ་ཉིད་མ །ཁྲོ་གཉེར་གཡོ་བའི
175	line-end	36		ཕོངས་པ་ཐམས་ཅད་རྣམ་པར་སྒྲོལ་མ།། ཞེས་གང་ལ་ཕྱག་འཚལ་ན། སྒྲོལ་མ་དབུལ་སེལ་ནོར་སྟེར་ཁྲོ
176	line-end	99		ཚོགས་གཉིས་རྒྱ་མཚོར་འཇུག་པའི་གྲུ་གཟིངས། དང་ནོར་ལྷའི་ཚོགས་རྣམས་ཐམས་ཅད་ཅི་བཅོལ་བའི་
177	verse-stanza	29		ཕྱག་འཚལ་ཟླ་བ་དུམ་བུའི་དབུ་རྒྱན། །↵བརྒྱན་པ་ཐམས་ཅད་ཤིན་ཏུ་འབར་མ། །↵རལ་པའི་ཁྲོད་ན་འ
178	line-end	170		ཞེས་གང་ལ་ཕྱག་འཚལ་ན། ཡུལ་གྲུ་ཐམས་ཅད་བཀྲ་ཤིས་པར་བྱེད་པའི་སྒྲོལ་མ་བཀྲ་ཤིས་དོན་གྲུབ་
179	line-end	38		བསྟོད་འགྲེལ་འདོད་རྒུའི་ཕྲིན་ལས་དཔལ་སྟེར འོད་ཟེར་རབ་ཏུ་འབར་བས་འཇིག་རྟེན་རྣམས་གནས་
180	verse-stanza	29		ཕྱག་འཚལ་བསྐལ་པ་མཐའ་མའི་མེ་ལྟར། །↵འབར་བའི་ཕྲེང་བའི་དབུས་ན་གནས་མ། །↵གཡས་བརྐྱང་གཡོན
181	line-end	134		ཞེས་གང་ལ་ཕྱག་འཚལ་ན། དམག་སོགས་བར་ཆད་ཐམས་ཅད་ཀྱི་གཡུལ་ལས་རྒྱལ་བར་བྱེད་པའི་སྒྲོལ་མ་ད
182	verse-stanza	29		ཕྱག་འཚལ་ས་གཞིའི་ངོས་ལ་ཕྱག་གིས། །↵མཐིལ་གྱིས་བསྣུན་ཅིང་ཞབས་ཀྱིས་བརྡུང་མ། །↵ཁྲོ་གཉེ
183	line-end	40		ཞེས་གང་ལ་ཕྱག་འཚལ་ན། བགེགས་དང་གདོན་རྣམས་གཞོམ་པར་བྱེད་པའི་སྒྲོལ་མ་ཁྲོ་གཉེར་ཅན་མཛད་
184	line-end	109		ཚོགས་གཉིས་རྒྱ་མཚོར་འཇུག་པའི་གྲུ་གཟིངས། ངོས་ལ་སྡིགས་མཛུབ་དང་བཅས་པའི་ཕྱག་གི་མཐིལ་ག
185	verse-stanza	29		ཕྱག་འཚལ་བདེ་མ་དགེ་མ་ཞི་མ། །↵མྱ་ངན་འདས་ཞི་སྤྱོད་ཡུལ་ཉིད་མ། །↵སྭཱ་ཧྭ་ཨོཾ་དང་ཡང་དག་
186	line-end	161		ཞེས་གང་ལ་ཕྱག་འཚལ་ན། སྡིག་སྒྲིབ་ཞི་བར་མཛད་པའི་སྒྲོལ་མ་རབ་ཏུ་ཞི་མ་དེ་ནི་སྐུ་མདོག་ད
187	line-end	21		བསྟོད་འགྲེལ་འདོད་རྒུའི་ཕྲིན་ལས་དཔལ་སྟེར། འབྲས་བུ་ངན་སོང་གི་སྡུག་བསྔལ་རྣམས་འཇོམས་
188	verse-stanza	29		ཕྱག་འཚལ་ཀུན་ནས་བསྐོར་རབ་དགའ་བའི། །↵དགྲ་ཡི་ལུས་ནི་རབ་ཏུ་འགེམས་མ། །↵ཡི་གེ་བཅུ་པའི་
189	terminal-particle	25		ཞེས་གང་ལ་ཕྱག་འཚལ་ན དགྲ་དང་བྱད་མའི་རིག་སྔགས་ཀྱི་སྟོབས་གཞོམ་པར་བྱེད་པའི་སྒྲོལ་མ་འབ
190	terminal-particle	155		དེ་ནི་སྐུ་མདོག་དམར་པོ་ཕྱག་གཡོན་ཨུཏྤལའི་སྟེང་བྱད་མ་བཟློག་པའི་མཚོན་ཆ་རྒྱ་གྲམ་འཛིན་
191	line-end	8		ཕྱག་འཚལ་ཏུ་རེའི་ཞབས་ནི་བརྡབས་པས །
192	verse-stanza	21		ཧཱུཾ་གི་རྣམ་པའི་ས་བོན་ཉིད་མ། །↵རི་རབ་མནྡཱ་ར་དང་འབིགས་བྱེད། །↵འཇིག་རྟེན་གསུམ་རྣམས
193	line-end	14		ཞེས་གང་ལ་ཕྱག་འཚལ་ན། དགྲ་ཇག་ཆོམ་རྐུན་དང་རྔོན་པའི་ཁ་
194	line-end	128		ཚོགས་གཉིས་རྒྱ་མཚོར་འཇུག་པའི་གྲུ་གཟིངས། འཆིང་བ་སྒྲོལ་མ་དཔག་མེད་གནོན་མ་དེ་ནི་སྐུ་མ
